col1,col2,col3
106579,119193,0
106589,119198,0
106481,118959,0
106468,118903,0
106447,118826,0
106450,118834,0
106461,118838,0
106464,118845,0
106492,118942,0
106499,118946,0
106493,118974,0
106501,118978,0
106516,119002,0
106520,119008,0
106530,119034,0
106538,119046,0
106573,119136,0
106588,119150,0
106611,119158,0
106591,119103,0
106498,118857,0
106493,118839,0
106497,118833,0
106532,118884,0
106540,118892,0
106538,118914,0
106554,118934,0
106618,119065,0
106629,119071,0
106638,119080,0
106632,119074,0
106634,119084,0
106634,119091,0
106691,119232,0
106694,119250,0
106699,119254,0
106717,119262,0
106699,119237,0
106680,119160,0
106639,119090,0
106608,119013,0
106586,118922,0
106585,118930,0
106571,118960,0
106609,119010,0
106615,119019,0
106625,119049,0
106662,119091,0
106662,119081,0
106641,119101,0
106656,119089,0
106673,119111,0
106676,119124,0
106659,119155,0
106687,119146,0
106697,119199,0
106707,119213,0
106687,119194,0
106711,119219,0
106661,119083,0
106648,119023,0
106630,118971,0
106607,118929,0
106590,118860,0
106584,118853,0
106587,118841,0
106592,118863,0
106613,119001,0
106602,119001,0
106583,119023,0
106627,119019,0
106658,119083,0
106658,119094,0
106635,119099,0
106653,119125,0
106701,119260,0
106711,119273,0
106709,119287,0
106725,119309,0
106771,119446,0
106781,119462,0
106791,119468,0
106797,119496,0
106633,119031,0
106641,119026,0
106661,119009,0
106654,119048,0
106727,119220,0
106731,119230,0
106763,119238,0
106750,119277,0
106768,119320,0
106763,119338,0
106767,119321,0
106782,119337,0
106788,119450,0
106802,119467,0
106813,119491,0
106819,119495,0
106861,119622,0
106869,119633,0
106880,119643,0
106882,119659,0
106918,119793,0
106927,119801,0
106958,119774,0
106923,119771,0
106739,119293,0
106737,119298,0
106742,119299,0
106741,119329,0
106813,119542,0
106819,119558,0
106815,119570,0
106833,119581,0
106824,119599,0
106820,119595,0
106827,119614,0
106830,119610,0
106852,119701,0
106853,119710,0
106841,119756,0
106857,119737,0
106901,119879,0
106902,119900,0
106877,119901,0
106913,119925,0
106954,120031,0
106954,120053,0
106945,120041,0
106960,120056,0
106770,119564,0
106764,119573,0
106769,119574,0
106783,119603,0
106858,119833,0
106864,119858,0
106852,119911,0
106876,119890,0
106871,119895,0
106881,119907,0
106852,119907,0
106894,119929,0
106882,119983,0
106890,120006,0
106877,119998,0
106902,120024,0
106943,120134,0
106947,120143,0
106943,120139,0
106948,120157,0
106991,120274,0
106995,120280,0
106990,120263,0
106983,120259,0
106798,119824,0
106808,119824,0
106848,119815,0
106829,119862,0
106889,120097,0
106900,120125,0
106920,120117,0
106912,120155,0
106913,120138,0
106919,120139,0
106904,120131,0
106909,120133,0
106941,120236,0
106946,120245,0
106950,120223,0
106941,120252,0
106969,120360,0
106977,120363,0
107009,120350,0
106977,120392,0
106997,120465,0
107001,120467,0
107012,120453,0
106989,120424,0
106822,120012,0
106834,120017,0
106829,120031,0
106853,120061,0
106908,120267,0
106911,120281,0
106923,120291,0
106928,120309,0
106921,120283,0
106909,120276,0
106902,120298,0
106912,120282,0
106949,120354,0
106950,120361,0
106936,120393,0
106952,120369,0
106945,120382,0
106949,120395,0
106927,120390,0
106953,120401,0
106933,120408,0
106911,120377,0
106863,120313,0
106848,120236,0
106727,119996,0
106737,120017,0
106733,120052,0
106742,120038,0
106787,120271,0
106793,120281,0
106768,120299,0
106792,120274,0
106749,120229,0
106734,120226,0
106712,120217,0
106729,120241,0
106710,120314,0
106719,120323,0
106707,120324,0
106714,120330,0
106772,120417,0
106778,120419,0
106772,120421,0
106772,120408,0
106611,119939,0
106609,119939,0
106623,119922,0
106623,119972,0
106704,120196,0
106706,120216,0
106732,120196,0
106717,120237,0
106719,120232,0
106713,120234,0
106707,120223,0
106716,120241,0
106736,120318,0
106746,120323,0
106742,120325,0
106748,120334,0
106770,120394,0
106776,120401,0
106801,120384,0
106767,120409,0
106570,119908,0
106567,119912,0
106597,119872,0
106579,119904,0
106631,120044,0
106630,120053,0
106616,120060,0
106637,120077,0
106642,120094,0
106637,120095,0
106620,120100,0
106647,120099,0
106658,120145,0
106656,120152,0
106652,120168,0
106661,120161,0
106692,120238,0
106687,120242,0
106664,120280,0
106689,120253,0
106664,120186,0
106621,120094,0
106561,120007,0
106570,119958,0
106550,119867,0
106552,119877,0
106554,119903,0
106553,119927,0
106611,120049,0
106597,120040,0
106597,120051,0
106596,120036,0
106585,120024,0
106593,120037,0
106573,120073,0
106593,120054,0
106602,120084,0
106606,120089,0
106581,120061,0
106598,120091,0
106584,120092,0
106578,120091,0
106575,120079,0
106573,120082,0
106432,119753,0
106415,119679,0
106390,119628,0
106364,119578,0
106287,119482,0
106285,119487,0
106276,119447,0
106275,119464,0
106201,119460,0
106186,119449,0
106187,119408,0
106217,119451,0
106195,119468,0
106175,119465,0
106165,119449,0
106155,119460,0
106200,119524,0
106194,119533,0
106198,119538,0
106215,119549,0
106261,119657,0
106268,119663,0
106279,119653,0
106302,119688,0
106303,119566,0
106290,119487,0
106260,119387,0
106263,119336,0
106230,119254,0
106315,119427,0
106318,119416,0
106324,119451,0
106320,119439,0
106307,119438,0
106256,119350,0
106267,119345,0
106253,119342,0
106260,119370,0
106289,119440,0
106308,119480,0
106322,119476,0
106328,119510,0
106360,119599,0
106368,119617,0
106385,119688,0
106388,119706,0
106395,119729,0
106395,119737,0
106272,119430,0
106236,119344,0
106200,119176,0
106197,119173,0
106224,119252,0
106239,119273,0
106268,119358,0
106264,119366,0
106278,119390,0
106273,119389,0
106267,119359,0
106263,119363,0
106264,119391,0
106262,119385,0
106294,119444,0
106297,119458,0
106306,119473,0
106302,119482,0
106313,119556,0
106318,119564,0
106316,119609,0
106320,119623,0
106348,119644,0
106354,119651,0
106352,119691,0
106349,119670,0
106186,119217,0
106174,119160,0
106146,119071,0
106153,119084,0
106183,119141,0
106185,119154,0
106189,119243,0
106188,119259,0
106209,119253,0
106213,119248,0
106182,119204,0
106189,119202,0
106199,119247,0
106206,119243,0
106219,119274,0
106205,119257,0
106185,119235,0
106171,119224,0
106166,119226,0
106160,119220,0
106147,119213,0
106155,119226,0
106155,119230,0
106161,119240,0
106179,119277,0
106174,119273,0
106050,118937,0
106032,118882,0
105969,118688,0
105964,118676,0
105965,118678,0
105958,118670,0
105961,118690,0
105981,118704,0
105993,118752,0
105997,118744,0
105993,118732,0
106000,118731,0
106013,118781,0
106023,118794,0
106040,118849,0
106050,118865,0
106068,118918,0
106061,118920,0
106071,118944,0
106071,118945,0
106069,118967,0
106074,118978,0
106087,119014,0
106091,119017,0
106126,119096,0
106127,119114,0
106183,119216,0
106181,119217,0
106071,118893,0
106054,118846,0
106045,118787,0
106055,118806,0
106092,118890,0
106105,118922,0
106124,119006,0
106130,119013,0
106117,119002,0
106110,118991,0
106093,118951,0
106091,118959,0
106104,119011,0
106102,119018,0
106117,119065,0
106126,119084,0
106147,119161,0
106150,119171,0
106162,119223,0
106169,119250,0
106185,119295,0
106189,119311,0
106197,119347,0
106198,119383,0
106242,119453,0
106244,119462,0
106252,119463,0
106251,119475,0
106191,119322,0
106159,119229,0
106052,118992,0
106059,118996,0
106104,119093,0
106108,119122,0
106146,119260,0
106149,119278,0
106176,119299,0
106171,119293,0
106149,119229,0
106147,119211,0
106145,119238,0
106136,119247,0
106159,119298,0
106164,119316,0
106188,119371,0
106187,119379,0
106213,119445,0
106215,119456,0
106221,119464,0
106230,119480,0
106232,119504,0
106242,119507,0
106235,119534,0
106248,119550,0
106258,119572,0
106258,119569,0
106190,119405,0
106150,119317,0
106072,119071,0
106060,119055,0
106089,119110,0
106091,119129,0
106117,119225,0
106126,119246,0
106136,119281,0
106149,119280,0
106130,119259,0
106130,119255,0
106130,119279,0
106132,119276,0
106153,119324,0
106162,119336,0
106171,119389,0
106177,119395,0
106199,119457,0
106206,119468,0
106224,119486,0
106214,119502,0
106207,119532,0
106214,119551,0
106236,119585,0
106245,119587,0
106244,119606,0
106255,119618,0
106202,119478,0
106156,119387,0
106067,119131,0
106063,119124,0
106100,119192,0
106097,119195,0
106114,119280,0
106125,119300,0
106131,119331,0
106135,119326,0
106129,119293,0
106125,119299,0
106116,119313,0
106120,119326,0
106146,119371,0
106157,119388,0
106152,119428,0
106157,119434,0
106174,119470,0
106171,119477,0
106183,119502,0
106175,119499,0
106189,119525,0
106191,119534,0
106185,119548,0
106184,119561,0
106191,119566,0
106186,119575,0
106199,119607,0
106189,119605,0
106071,119249,0
106039,119196,0
106036,119144,0
106044,119158,0
106056,119237,0
106072,119260,0
106094,119338,0
106094,119345,0
106088,119315,0
106088,119314,0
106075,119294,0
106074,119304,0
106094,119349,0
106094,119349,0
106122,119416,0
106125,119425,0
106137,119448,0
106136,119456,0
106139,119490,0
106142,119486,0
106161,119530,0
106151,119529,0
106161,119561,0
106163,119566,0
106164,119598,0
106171,119601,0
106191,119657,0
106194,119656,0
106129,119466,0
106095,119388,0
106001,119165,0
106005,119165,0
106034,119234,0
106045,119256,0
106064,119346,0
106061,119361,0
106067,119364,0
106079,119355,0
106052,119306,0
106049,119301,0
106060,119350,0
106056,119348,0
106060,119388,0
106068,119405,0
106086,119454,0
106093,119458,0
106103,119494,0
106104,119494,0
106096,119516,0
106102,119514,0
106114,119543,0
106109,119535,0
106114,119560,0
106110,119568,0
106126,119609,0
106136,119619,0
106137,119627,0
106123,119600,0
105996,119245,0
105982,119206,0
105975,119170,0
105986,119192,0
105985,119204,0
106030,119377,0
106036,119388,0
106035,119374,0
106040,119391,0
106016,119334,0
106015,119329,0
106009,119308,0
106027,119339,0
106039,119427,0
106045,119445,0
106054,119428,0
106076,119463,0
106064,119506,0
106078,119532,0
106077,119517,0
106075,119532,0
106084,119545,0
106074,119548,0
106081,119586,0
106089,119617,0
106107,119620,0
106107,119638,0
106040,119474,0
106005,119393,0
105927,119179,0
105922,119174,0
105975,119268,0
105969,119271,0
105991,119368,0
106000,119387,0
106011,119388,0
106004,119382,0
105968,119333,0
105963,119314,0
105971,119353,0
105974,119368,0
105983,119396,0
105993,119411,0
106001,119448,0
106008,119445,0
106003,119482,0
106004,119488,0
106018,119510,0
106026,119518,0
106014,119527,0
106013,119524,0
106027,119566,0
106033,119564,0
106048,119601,0
106032,119603,0
105947,119351,0
105922,119281,0
105867,119152,0
105879,119150,0
105901,119238,0
105909,119252,0
105919,119327,0
105922,119334,0
105921,119318,0
105917,119310,0
105906,119281,0
105909,119275,0
105910,119306,0
105915,119318,0
105945,119366,0
105943,119372,0
105942,119400,0
105936,119398,0
105937,119432,0
105939,119436,0
105960,119454,0
105963,119457,0
105954,119473,0
105957,119483,0
105967,119506,0
105973,119513,0
105994,119537,0
105984,119548,0
105873,119262,0
105855,119195,0
105819,119084,0
105826,119094,0
105847,119163,0
105849,119172,0
105856,119239,0
105851,119238,0
105872,119246,0
105874,119227,0
105859,119199,0
105850,119203,0
105865,119239,0
105861,119255,0
105889,119293,0
105895,119299,0
105882,119300,0
105879,119312,0
105901,119338,0
105899,119336,0
105898,119340,0
105899,119352,0
105903,119363,0
105905,119383,0
105922,119414,0
105926,119426,0
105938,119474,0
105953,119485,0
105894,119344,0
105861,119254,0
105791,119035,0
105789,119030,0
105826,119093,0
105836,119095,0
105827,119151,0
105836,119164,0
105833,119170,0
105834,119158,0
105813,119122,0
105805,119120,0
105837,119166,0
105838,119170,0
105824,119195,0
105838,119214,0
105867,119241,0
105864,119243,0
105846,119243,0
105848,119247,0
105860,119263,0
105858,119277,0
105874,119299,0
105864,119297,0
105877,119327,0
105872,119327,0
105878,119359,0
105866,119356,0
105891,119378,0
105898,119368,0
105847,119198,0
105809,119119,0
105743,118900,0
105736,118904,0
105753,118934,0
105762,118936,0
105761,118997,0
105768,118995,0
105771,118998,0
105768,118983,0
105740,118957,0
105739,118957,0
105760,118988,0
105751,118982,0
105757,119024,0
105764,119032,0
105762,119062,0
105761,119059,0
105761,119090,0
105772,119098,0
105759,119119,0
105767,119121,0
105761,119160,0
105762,119166,0
105778,119216,0
105784,119229,0
105774,119268,0
105777,119272,0
105795,119311,0
105798,119315,0
105804,119347,0
105806,119371,0
105708,119172,0
105675,119068,0
105610,118843,0
105615,118842,0
105639,118913,0
105644,118922,0
105670,119018,0
105672,119037,0
105691,119035,0
105686,119028,0
105658,118954,0
105666,118953,0
105651,118964,0
105658,118969,0
105675,119021,0
105689,119024,0
105699,119051,0
105693,119050,0
105690,119063,0
105696,119078,0
105708,119093,0
105722,119085,0
105722,119083,0
105717,119086,0
105718,119083,0
105715,119084,0
105696,119081,0
105697,119084,0
105695,119071,0
105674,119022,0
105561,118685,0
105553,118643,0
105529,118591,0
105531,118607,0
105551,118641,0
105548,118650,0
105546,118682,0
105552,118686,0
105550,118660,0
105551,118658,0
105544,118643,0
105540,118638,0
105536,118676,0
105552,118688,0
105561,118723,0
105568,118720,0
105564,118745,0
105570,118760,0
105570,118772,0
105567,118759,0
105581,118803,0
105583,118811,0
105585,118832,0
105588,118831,0
105598,118860,0
105593,118866,0
105618,118916,0
105619,118907,0
105545,118663,0
105518,118578,0
105420,118327,0
105425,118322,0
105422,118312,0
105413,118301,0
105407,118315,0
105406,118327,0
105438,118343,0
105427,118343,0
105407,118319,0
105404,118319,0
105412,118327,0
105413,118334,0
105428,118374,0
105433,118376,0
105436,118429,0
105440,118430,0
105459,118463,0
105466,118464,0
105468,118494,0
105473,118504,0
105482,118548,0
105485,118547,0
105506,118615,0
105511,118627,0
105534,118677,0
105531,118694,0
105550,118742,0
105556,118764,0
105580,118820,0
105588,118826,0
105444,118444,0
105418,118375,0
105378,118229,0
105382,118232,0
105391,118249,0
105392,118252,0
105407,118287,0
105415,118296,0
105420,118315,0
105420,118322,0
105417,118305,0
105419,118304,0
105420,118335,0
105427,118347,0
105438,118389,0
105443,118402,0
105462,118437,0
105469,118449,0
105466,118480,0
105473,118489,0
105475,118520,0
105476,118519,0
105492,118550,0
105492,118549,0
105510,118586,0
105509,118597,0
105521,118630,0
105532,118631,0
105529,118665,0
105535,118662,0
105556,118706,0
105557,118718,0
105485,118540,0
105459,118458,0
105375,118187,0
105365,118178,0
105364,118161,0
105385,118202,0
105383,118211,0
105375,118215,0
105387,118229,0
105398,118241,0
105403,118231,0
105386,118230,0
105396,118260,0
105401,118260,0
105409,118271,0
105422,118347,0
105416,118359,0
105424,118368,0
105429,118372,0
105443,118418,0
105443,118426,0
105448,118450,0
105456,118442,0
105471,118485,0
105468,118476,0
105446,118509,0
105469,118502,0
105487,118571,0
105486,118586,0
105467,118579,0
105500,118617,0
105349,118210,0
105329,118161,0
105324,118119,0
105337,118118,0
105330,118142,0
105325,118159,0
105319,118191,0
105339,118196,0
105365,118218,0
105361,118221,0
105332,118223,0
105350,118205,0
105353,118268,0
105358,118276,0
105355,118279,0
105381,118309,0
105406,118406,0
105411,118416,0
105420,118418,0
105425,118436,0
105431,118451,0
105427,118462,0
105431,118457,0
105431,118479,0
105445,118483,0
105439,118488,0
105453,118456,0
105445,118492,0
105464,118528,0
105447,118488,0
105448,118416,0
105393,118356,0
105284,118026,0
105293,118032,0
105281,118034,0
105289,118045,0
105316,118145,0
105320,118154,0
105319,118155,0
105318,118145,0
105295,118107,0
105297,118109,0
105322,118084,0
105302,118120,0
105326,118194,0
105326,118207,0
105342,118185,0
105336,118224,0
105357,118253,0
105351,118267,0
105349,118259,0
105358,118266,0
105376,118311,0
105368,118318,0
105372,118323,0
105362,118336,0
105388,118395,0
105394,118401,0
105385,118426,0
105392,118401,0
105241,117934,0
105243,117920,0
105222,117931,0
105253,117926,0
105264,118008,0
105267,118017,0
105250,118005,0
105273,118024,0
105247,117978,0
105251,117987,0
105246,117982,0
105256,117988,0
105275,118051,0
105280,118052,0
105265,118084,0
105280,118054,0
105278,118109,0
105291,118110,0
105255,118096,0
105300,118125,0
105324,118188,0
105322,118191,0
105305,118174,0
105319,118199,0
105331,118263,0
105340,118271,0
105348,118284,0
105355,118295,0
105261,118062,0
105235,117991,0
105224,117918,0
105201,117890,0
105208,117881,0
105221,117903,0
105232,117873,0
105212,117912,0
105228,117982,0
105228,117970,0
105232,117936,0
105214,117950,0
105220,117996,0
105228,118000,0
105214,118010,0
105226,118023,0
105269,118121,0
105261,118130,0
105274,118116,0
105267,118152,0
105296,118241,0
105296,118238,0
105306,118221,0
105295,118253,0
105331,118340,0
105326,118352,0
105343,118336,0
105333,118368,0
105374,118416,0
105382,118418,0
105373,118422,0
105382,118430,0
105239,118003,0
105227,117964,0
105221,117944,0
105211,117920,0
105244,118025,0
105250,118035,0
105243,118069,0
105252,118056,0
105244,118023,0
105241,118010,0
105206,118014,0
105223,117985,0
105250,118020,0
105244,118033,0
105230,118017,0
105257,118053,0
105274,118095,0
105283,118099,0
105280,118087,0
105286,118093,0
105288,118102,0
105278,118097,0
105276,118141,0
105287,118126,0
105298,118161,0
105304,118174,0
105275,118199,0
105309,118202,0
105172,117810,0
105152,117756,0
105119,117709,0
105134,117701,0
105114,117654,0
105106,117658,0
105103,117656,0
105105,117658,0
105135,117699,0
105129,117684,0
105117,117667,0
105102,117667,0
105119,117691,0
105118,117687,0
105130,117664,0
105120,117705,0
105138,117767,0
105146,117779,0
105176,117766,0
105158,117803,0
105170,117833,0
105178,117844,0
105163,117848,0
105184,117842,0
105215,117913,0
105213,117921,0
105205,117884,0
105185,117855,0
105024,117391,0
105018,117375,0
105048,117349,0
105019,117367,0
105014,117339,0
105014,117342,0
105020,117328,0
105015,117348,0
105004,117348,0
105008,117352,0
104990,117350,0
105016,117352,0
105040,117406,0
105040,117420,0
105051,117430,0
105046,117436,0
105068,117465,0
105060,117469,0
105052,117499,0
105068,117491,0
105097,117577,0
105103,117591,0
105095,117620,0
105123,117607,0
104960,117159,0
104956,117133,0
104944,117091,0
104942,117087,0
104927,117033,0
104934,117028,0
104917,117039,0
104920,117034,0
104950,117064,0
104945,117061,0
104923,117082,0
104935,117061,0
104966,117118,0
104968,117134,0
104942,117149,0
104976,117159,0
104997,117216,0
104998,117239,0
104990,117237,0
105003,117258,0
105047,117343,0
105047,117343,0
105050,117349,0
105061,117362,0
105086,117435,0
105090,117451,0
105098,117433,0
105105,117479,0
105127,117556,0
105138,117561,0
105136,117538,0
105164,117589,0
105078,117404,0
105050,117317,0
105030,117224,0
105016,117175,0
104937,116972,0
104946,116958,0
104933,116937,0
104928,116948,0
104942,116951,0
104945,116947,0
104938,116920,0
104937,116932,0
104932,116926,0
104937,116936,0
104948,116914,0
104968,116948,0
104975,117031,0
105002,117049,0
105010,117037,0
105005,117051,0
105008,117094,0
105006,117109,0
105035,117142,0
105033,117148,0
105039,117140,0
105043,117176,0
105074,117210,0
105063,117196,0
105071,117186,0
105071,117216,0
105085,117244,0
105094,117253,0
105102,117299,0
105107,117278,0
105003,116975,0
104977,116906,0
104923,116718,0
104917,116698,0
104894,116627,0
104884,116630,0
104879,116640,0
104887,116651,0
104901,116663,0
104906,116658,0
104896,116651,0
104903,116659,0
104928,116710,0
104932,116714,0
104952,116774,0
104959,116775,0
104976,116811,0
104976,116828,0
105006,116889,0
105012,116898,0
105024,116929,0
105025,116938,0
105045,116977,0
105048,116990,0
105068,117035,0
105070,117044,0
105092,117084,0
105093,117105,0
105106,117159,0
105117,117161,0
105133,117223,0
105145,117231,0
105145,117210,0
105124,117162,0
105034,116878,0
105028,116841,0
105011,116764,0
105017,116754,0
105010,116758,0
105010,116765,0
105022,116787,0
105027,116798,0
105016,116786,0
105013,116784,0
105028,116791,0
105034,116799,0
105061,116865,0
105052,116873,0
105071,116912,0
105080,116925,0
105101,116979,0
105096,116983,0
105117,117012,0
105125,117022,0
105138,117067,0
105145,117073,0
105165,117126,0
105171,117142,0
105183,117179,0
105180,117195,0
105215,117248,0
105214,117269,0
105230,117310,0
105240,117322,0
105253,117361,0
105247,117359,0
105163,117089,0
105144,117034,0
105121,116938,0
105120,116945,0
105133,116987,0
105132,116986,0
105149,117049,0
105148,117052,0
105160,117049,0
105161,117052,0
105152,117060,0
105165,117071,0
105183,117108,0
105185,117117,0
105204,117170,0
105200,117183,0
105224,117234,0
105231,117237,0
105250,117274,0
105236,117286,0
105257,117325,0
105266,117344,0
105286,117370,0
105279,117366,0
105296,117439,0
105308,117446,0
105324,117518,0
105335,117535,0
105372,117578,0
105371,117581,0
105358,117570,0
105339,117529,0
105258,117274,0
105249,117234,0
105253,117203,0
105244,117208,0
105250,117266,0
105260,117287,0
105297,117338,0
105300,117346,0
105284,117321,0
105283,117313,0
105276,117297,0
105278,117301,0
105294,117336,0
105303,117341,0
105308,117394,0
105312,117392,0
105336,117429,0
105323,117445,0
105342,117462,0
105347,117462,0
105350,117495,0
105351,117503,0
105368,117555,0
105374,117564,0
105387,117602,0
105393,117604,0
105395,117674,0
105393,117688,0
105424,117732,0
105437,117747,0
105414,117706,0
105386,117653,0
105280,117384,0
105276,117358,0
105295,117337,0
105293,117350,0
105298,117427,0
105307,117449,0
105316,117521,0
105323,117535,0
105330,117548,0
105334,117546,0
105304,117529,0
105316,117550,0
105355,117606,0
105360,117616,0
105383,117653,0
105381,117670,0
105387,117686,0
105388,117691,0
105404,117704,0
105397,117711,0
105405,117744,0
105405,117727,0
105410,117752,0
105406,117765,0
105425,117791,0
105422,117796,0
105434,117831,0
105432,117838,0
105422,117802,0
105409,117763,0
105308,117508,0
105314,117477,0
105316,117463,0
105309,117475,0
105319,117517,0
105325,117527,0
105320,117567,0
105320,117567,0
105327,117553,0
105307,117526,0
105288,117524,0
105288,117526,0
105300,117587,0
105307,117583,0
105323,117637,0
105330,117652,0
105341,117681,0
105332,117682,0
105347,117697,0
105354,117709,0
105369,117704,0
105362,117716,0
105372,117725,0
105366,117736,0
105362,117759,0
105364,117723,0
105255,117420,0
105213,117342,0
105165,117247,0
105174,117243,0
105180,117254,0
105176,117253,0
105184,117276,0
105188,117283,0
105192,117295,0
105187,117290,0
105160,117266,0
105165,117273,0
105183,117302,0
105185,117305,0
105176,117347,0
105189,117356,0
105199,117392,0
105207,117390,0
105211,117392,0
105218,117404,0
105222,117449,0
105219,117447,0
105242,117476,0
105234,117479,0
105248,117506,0
105253,117507,0
105145,117223,0
105125,117175,0
105073,116967,0
