timestamp,ir,red,ir_ac,ir_dc,red_ac,red_dc,r_value,true_hr,true_spo2
2025-12-04T20:36:05.921004,112090.0,96898.0,74.904411,102835.6875,31.644463,89160.335938,0.487262,75.0,99.0
2025-12-04T20:36:05.923519,112090.0,96898.0,81.449333,102928.234375,38.411552,89237.710938,0.543952,75.0,99.0
2025-12-04T20:36:05.925448,112090.0,96898.0,81.338005,103019.851562,40.955986,89314.3125,0.580796,75.0,99.0
2025-12-04T20:36:05.927638,111748.0,96814.0,53.46703,103107.132812,34.706738,89389.3125,0.74874,75.0,99.0
2025-12-04T20:36:05.929862,111748.0,96814.0,7.629628,103193.539062,22.616404,89463.5625,3.419216,75.0,99.0
2025-12-04T20:36:05.932593,111748.0,96814.0,25.152599,103279.085938,12.773631,89537.070312,0.585789,75.0,99.0
2025-12-04T20:36:05.935066,111748.0,96814.0,46.820568,103363.773438,5.087596,89609.84375,0.12534,75.0,99.0
2025-12-04T20:36:05.937384,111826.0,96862.0,54.127903,103448.398438,2.607675,89682.367188,0.055571,75.0,99.0
2025-12-04T20:36:05.939788,111826.0,96862.0,50.87888,103532.171875,3.944589,89754.164062,0.08943,75.0,99.0
2025-12-04T20:36:05.941680,111826.0,96862.0,45.632298,103615.109375,4.658457,89825.242188,0.117759,75.0,99.0
2025-12-04T20:36:05.943799,111826.0,96862.0,39.281223,103697.21875,4.891367,89895.609375,0.143639,75.0,99.0
2025-12-04T20:36:05.946183,111945.0,96873.0,24.492817,103779.695312,5.513258,89965.382812,0.259661,75.0,99.0
2025-12-04T20:36:05.948298,111945.0,96873.0,4.610004,103861.351562,6.373609,90034.460938,1.594885,75.0,99.0
2025-12-04T20:36:05.950488,111945.0,96873.0,9.685406,103942.1875,6.610914,90102.84375,0.787403,75.0,99.0
2025-12-04T20:36:05.952780,111945.0,96873.0,19.208843,104022.21875,6.394605,90170.546875,0.384038,75.0,99.0
2025-12-04T20:36:05.955362,112032.0,96883.0,30.681456,104102.320312,6.545232,90237.671875,0.246106,75.0,99.0
2025-12-04T20:36:05.957343,112032.0,96883.0,42.86261,104181.617188,6.946111,90304.125,0.186959,75.0,99.0
2025-12-04T20:36:05.959287,112032.0,96883.0,48.96759,104260.125,6.825506,90369.914062,0.160813,75.0,99.0
2025-12-04T20:36:05.961372,112032.0,96883.0,50.431946,104337.84375,6.34406,90435.046875,0.145133,75.0,99.0
2025-12-04T20:36:05.963394,111483.0,96704.0,11.503982,104409.296875,6.438441,90497.734375,0.645705,75.0,99.0
2025-12-04T20:36:05.965751,111483.0,96704.0,53.661545,104480.03125,27.157679,90559.796875,0.583885,75.0,99.0
2025-12-04T20:36:05.968055,111483.0,96704.0,96.521408,104550.0625,40.198696,90621.242188,0.480488,75.0,99.0
2025-12-04T20:36:05.970141,111483.0,96704.0,121.155685,104619.390625,47.065395,90682.070312,0.448176,75.0,99.0
2025-12-04T20:36:05.972156,111869.0,96962.0,105.463654,104691.890625,31.774239,90744.867188,0.347587,75.0,99.0
2025-12-04T20:36:05.974185,111869.0,96962.0,62.23172,104763.664062,1.737618,90807.039062,0.032213,75.0,99.0
2025-12-04T20:36:05.976154,111869.0,96962.0,28.117464,104834.71875,19.554863,90868.585938,0.802361,75.0,99.0
2025-12-04T20:36:05.978181,111869.0,96962.0,2.416292,104905.0625,33.44207,90929.523438,15.967439,75.0,99.0
