timestamp,AX,AY,AZ,GX,GY,GZ,label
2025-12-10T17:23:46.412824,0,0,0,0,0,0,idle
2025-12-10T17:23:46.440255,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:46.472158,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:46.504214,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:46.535223,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:46.567244,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:46.598242,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:46.630258,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:46.662242,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:46.684053,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:46.709274,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:46.741322,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:46.772963,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:46.804400,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:46.835436,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:46.864717,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:46.899418,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:46.931404,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:46.963453,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:46.995441,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.027416,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.058458,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.090381,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.122498,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.154529,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.185369,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.216431,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.248389,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.280570,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.312617,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.343851,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.374570,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.403560,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.436428,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.466807,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.498778,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.523649,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.546209,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.577957,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.609770,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.641820,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.673821,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.705952,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.737967,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.762718,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.783989,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.815714,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.847778,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.878831,0.008,-0.978,-0.072,0.021,-0.976,-0.073,idle
2025-12-10T17:23:47.909905,0.01,-0.985,-0.065,0.999,-2.567,-1.342,idle
2025-12-10T17:23:47.941762,0.01,-0.985,-0.065,0.999,-2.567,-1.342,idle
2025-12-10T17:23:47.973942,0.01,-0.985,-0.065,0.999,-2.567,-1.342,idle
2025-12-10T17:23:48.006024,0.01,-0.985,-0.065,0.999,-2.567,-1.342,idle
2025-12-10T17:23:48.037930,0.01,-0.985,-0.065,0.999,-2.567,-1.342,idle
2025-12-10T17:23:48.068785,0.01,-0.985,-0.065,0.999,-2.567,-1.342,idle
2025-12-10T17:23:48.099867,0.01,-0.985,-0.065,0.999,-2.567,-1.342,idle
2025-12-10T17:23:48.123132,0.01,-0.985,-0.065,0.999,-2.567,-1.342,idle
2025-12-10T17:23:48.147861,0.01,-0.985,-0.065,0.999,-2.567,-1.342,idle
2025-12-10T17:23:48.179877,0.01,-0.985,-0.065,0.999,-2.567,-1.342,idle
2025-12-10T17:23:48.212209,0.01,-0.985,-0.065,0.999,-2.567,-1.342,idle
2025-12-10T17:23:48.243171,0.012,-0.983,-0.06,0.229,1.703,0.548,idle
2025-12-10T17:23:48.275869,0.012,-0.983,-0.06,0.229,1.703,0.548,idle
2025-12-10T17:23:48.307911,0.012,-0.983,-0.06,0.229,1.703,0.548,idle
2025-12-10T17:23:48.338806,0.012,-0.983,-0.06,0.229,1.703,0.548,idle
2025-12-10T17:23:48.371080,0.012,-0.983,-0.06,0.229,1.703,0.548,idle
2025-12-10T17:23:48.402818,0.012,-0.983,-0.06,0.229,1.703,0.548,idle
2025-12-10T17:23:48.434875,0.012,-0.983,-0.06,0.229,1.703,0.548,idle
2025-12-10T17:23:48.466969,0.012,-0.983,-0.06,0.229,1.703,0.548,idle
2025-12-10T17:23:48.497958,0.012,-0.983,-0.06,0.229,1.703,0.548,idle
2025-12-10T17:23:48.529982,0.012,-0.983,-0.06,0.229,1.703,0.548,idle
2025-12-10T17:23:48.560919,0.012,-0.983,-0.06,0.229,1.703,0.548,idle
2025-12-10T17:23:48.592944,0.012,-0.983,-0.06,0.229,1.703,0.548,idle
2025-12-10T17:23:48.624967,0.01,-0.982,-0.062,1.559,-1.097,-1.762,idle
2025-12-10T17:23:48.657015,0.01,-0.982,-0.062,1.559,-1.097,-1.762,idle
2025-12-10T17:23:48.687924,0.01,-0.982,-0.062,1.559,-1.097,-1.762,idle
2025-12-10T17:23:48.718906,0.01,-0.982,-0.062,1.559,-1.097,-1.762,idle
2025-12-10T17:23:48.750994,0.01,-0.982,-0.062,1.559,-1.097,-1.762,idle
2025-12-10T17:23:48.781863,0.01,-0.982,-0.062,1.559,-1.097,-1.762,idle
