timestamp,AX,AY,AZ,GX,GY,GZ,ASVM,GSVM,MCU_TIME,FALL_EVENT,label
2026-02-19T15:59:07.759077,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:07.796818,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:07.818823,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:07.842654,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:07.865958,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:07.885514,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:07.918880,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:07.944127,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:07.973003,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:07.995212,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.027558,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.067914,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.090669,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.120041,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.143808,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.154498,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.183654,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.208586,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.233787,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.260538,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.286192,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.298415,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.327553,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.361515,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.400371,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.424080,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.465460,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.485398,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.508059,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.535445,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.581837,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.618363,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.634022,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.663916,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.695152,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.716897,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.745762,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.778244,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.812066,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.843205,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.873685,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.894920,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.926251,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.959167,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:08.986673,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.010127,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.051079,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.084819,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.116670,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.142332,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.170926,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.202356,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.226254,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.235962,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.267172,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.291550,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.333833,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.352623,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.386541,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.408471,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.435024,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.462575,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.494407,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.525164,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.567666,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.591066,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.617706,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.651059,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.682846,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.714633,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.749372,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.777342,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.800523,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.826335,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.853425,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.899516,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.923458,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.958166,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:09.983304,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:10.015024,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:10.050112,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:10.073548,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:10.115819,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:10.150368,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:10.200488,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:10.222532,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:10.244774,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:10.267330,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:10.278799,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:10.313189,0,0,0,0,0,0,0,0,0,0,jump
2026-02-19T15:59:10.346032,0,0,0,0,0,0,0,0,0,0,jump
